0.7500	0.2000	0.5917
0.6080	0.6000	0.5521
0.8927	0.3000	0.7142
0.3712	0.4000	0.4414
0.2886	0.6000	0.3197
0.8794	0.4000	0.6938
0.7585	0.3000	0.6068
0.3014	0.6000	0.3340
0.4051	0.3000	0.4862
0.7686	0.2000	0.6064
0.2751	0.3000	0.3301
0.8092	0.4000	0.6384
0.7172	0.4000	0.7093
0.6104	0.5000	0.5843
0.5888	0.4000	0.5823
0.2788	0.4000	0.3315
0.6735	0.5000	0.6447
0.6793	0.6000	0.6169
0.9408	0.6000	0.6661
0.3219	0.6000	0.3567
0.4149	0.3000	0.4979
0.7763	0.5000	0.5878
0.6556	0.5000	0.6275
0.4698	0.4000	0.5585
0.7934	0.2000	0.6260
0.8150	0.2000	0.6431
0.5236	0.6000	0.4754
0.4033	0.3000	0.4839
0.7280	0.6000	0.6611
0.5333	0.6000	0.4843
0.3789	0.3000	0.4547
0.8190	0.2000	0.6462
0.8168	0.5000	0.6185
0.9111	0.4000	0.7188
0.6262	0.6000	0.5686
0.3905	0.5000	0.4518
0.3872	0.4000	0.4604
0.4363	0.2000	0.5188
0.3225	0.4000	0.3834
0.9674	0.4000	0.7633
0.4990	0.4000	0.5933
0.7369	0.5000	0.7054
0.9416	0.6000	0.6667
0.6229	0.2000	0.6160
0.7825	0.4000	0.6174
0.3785	0.2000	0.4501
0.7118	0.6000	0.6464
0.5340	0.2000	0.5281
0.2674	0.3000	0.3208
0.8565	0.3000	0.6852
0.8895	0.6000	0.6298
0.9819	0.4000	0.7747
0.8921	0.3000	0.7137
0.7422	0.4000	0.7341
0.9803	0.2000	0.7734
0.6658	0.2000	0.6585
0.5577	0.5000	0.5339
0.3413	0.5000	0.3950
0.4502	0.3000	0.5402
0.4225	0.4000	0.5024
0.9939	0.6000	0.7037
0.9666	0.3000	0.7733
0.3447	0.6000	0.3819
0.6483	0.5000	0.6206
0.4467	0.2000	0.5312
0.6274	0.3000	0.6274
0.9185	0.5000	0.6955
0.4148	0.2000	0.4932
0.6709	0.3000	0.6709
0.8780	0.3000	0.7024
0.8903	0.3000	0.7123
0.3985	0.2000	0.4738
0.4626	0.5000	0.5353
0.6666	0.2000	0.6592
0.4000	0.6000	0.4433
0.6139	0.5000	0.5876
0.7733	0.3000	0.6186
0.5804	0.5000	0.5555
0.8547	0.4000	0.6744
0.8348	0.6000	0.5911
0.7837	0.4000	0.6183
0.4156	0.2000	0.4941
0.5230	0.5000	0.5006
0.7790	0.5000	0.5898
0.6046	0.2000	0.5980
0.3604	0.2000	0.4285
0.4030	0.2000	0.4792
0.7466	0.5000	0.7146
0.3402	0.6000	0.3770
0.6618	0.3000	0.6618
0.2993	0.2000	0.3559
0.4232	0.5000	0.4897
0.3796	0.4000	0.4513
0.2654	0.3000	0.3185
0.2896	0.2000	0.3443
0.3539	0.3000	0.4247
0.8433	0.2000	0.6654
0.6649	0.5000	0.6364
0.5909	0.4000	0.5844
